Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Portal da Transparência do Município de Rio Branco,http://transparencia.riobranco.ac.gov.br/,Rio Branco,Rio Branco,AC,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Maceió,http://www.transparencia.maceio.al.gov.br/,Maceió,Maceió,AL,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Macapá,http://transparencia.macapa.ap.gov.br/transparenciafinancas/,Macapá,Macapá,AP,Brasil,Brasil,,Municipal
Prefeitura Municipal de Alvarães,https://transparenciamunicipalaam.org.br/,Alvarães,Alvarães,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Amaturá,http://www.amatura.am.gov.br/109/Transparencia/,Amaturá,Amaturá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Anamã,https://transparenciamunicipalaam.org.br/,Anamã,Anamã,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Anori,https://transparenciamunicipalaam.org.br/,Anori,Anori,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Atalaia do Norte,https://transparenciamunicipalaam.org.br/,Atalaia do Norte,Atalaia do Norte,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Autazes,http://servicos.autazes.am.gov.br/portaltransparencia/,Autazes,Autazes,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Barcelos,https://transparenciamunicipalaam.org.br/,Barcelos,Barcelos,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Barreirinha,https://transparenciamunicipalaam.org.br/,Barreirinha,Barreirinha,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Benjamin Constant,https://transparenciamunicipalaam.org.br/,Benjamin Constant,Benjamin Constant,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Beruri,https://transparenciamunicipalaam.org.br/,Beruri,Beruri,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Boa Vista do Ramos,https://transparenciamunicipalaam.org.br/,Boa Vista do Ramos,Boa Vista do Ramos,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Boca do Acre,https://transparenciamunicipalaam.org.br/,Boca do Acre,Boca do Acre,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Borba,http://www.transparencia-am.com.br/BORBA/PREVI/borba.php,Borba,Borba,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Caapiranga,https://transparenciamunicipalaam.org.br/,Caapiranga,Caapiranga,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Canutama,https://transparenciamunicipalaam.org.br/,Canutama,Canutama,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Carauari,http://www.transparencia-am.com.br/CARAUARI/PM/carauari.html,Carauari,Carauari,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Careiro,https://transparenciamunicipalaam.org.br/,Careiro,Careiro,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Careiro da Várzea,https://transparenciamunicipalaam.org.br/,Careiro da Várzea,Careiro da Várzea,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Coari,http://coari.am.gov.br/transparencia/,Coari,Coari,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Codajás,https://transparenciamunicipalaam.org.br/,Codajás,Codajás,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Eirunepé,https://transparenciamunicipalaam.org.br/,Eirunepé,Eirunepé,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Envira,https://transparenciamunicipalaam.org.br/,Envira,Envira,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Fonte Boa,https://transparenciamunicipalaam.org.br/,Fonte Boa,Fonte Boa,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Guajará,https://transparenciamunicipalaam.org.br/,Guajará,Guajará,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Humaitá,https://e-gov.betha.com.br/transparencia/01037-006/recursos.faces,Humaitá,Humaitá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Ipixuna,https://transparenciamunicipalaam.org.br/,Ipixuna,Ipixuna,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Iranduba,https://transparenciamunicipalaam.org.br/,Iranduba,Iranduba,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Itacoatiara,http://perseusdata.com/PMitacoatiara/,Itacoatiara,Itacoatiara,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Itamarati,https://transparenciamunicipalaam.org.br/,Itamarati,Itamarati,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Itapiranga,https://servicos.dattasystem.com.br/am/pm_itapiranga/,Itapiranga,Itapiranga,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Japurá,https://transparenciamunicipalaam.org.br/,Japurá,Japurá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Juruá,https://transparenciamunicipalaam.org.br/,Juruá,Juruá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Jutaí,https://transparenciamunicipalaam.org.br/,Jutaí,Jutaí,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Lábrea,http://transparencia-labrea.org/,Lábrea,Lábrea,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Manacapuru,http://transparencia.manacapuru.am.gov.br/,Manacapuru,Manacapuru,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Manaquiri,https://transparenciamunicipalaam.org.br/,Manaquiri,Manaquiri,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Manaus,https://transparencia.manaus.am.gov.br/transparencia/v2/#/home,Manaus,Manaus,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Manicoré,http://perseusdata.com/PMmanicore/,Manicoré,Manicoré,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Maraã,https://transparenciamunicipalaam.org.br/,Marãa,Marãa,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Maués,https://transparenciamunicipalaam.org.br/,Maués,Maués,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Nhamundá,http://perseusdata.com/PMnhamunda/,Nhamundá,Nhamundá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Nova Olinda do Norte,https://transparenciamunicipalaam.org.br/,Nova Olinda do Norte,Nova Olinda do Norte,AM,Brasil,Brasil,,Municipal
